Order,Family,Genus,species ,Common name,Data Deficient,Deepwater,Coastal,Pelagic,Benthic,BrackishFreshwater,Tropical ,Temperate,Global,Pacific,Atlantic,Indian,Arctic,Antartic,Trans-oceanic,Depth,Depth(0-200),Depth(201-1000),Depth(1000+),Human Uses,Fisheries,minor commercial,commercial,subsistence,Gamefish,Aquarium,Vulnerability #,Size ,*Reproductive Strategy
Hexanchiformes,Chlamydoselachidae,Chlamydoselachus,africana,southern african frilled shark,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,300-1400,,1,1,,NA,,,,,,3.5,117,
Hexanchiformes,Chlamydoselachidae,Chlamydoselachus,anguineus,frilled shark,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,20-1500,1,1,1,fisheries: minor commercial,1,1,,,,,4,196,Ovoviviparous
Hexanchiformes,Hexanchidae,Heptranchias,perlo,sharpnose sevengill shark,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,27-720,1,1,,fisheries: minor commercial,1,1,,,,,3.5,139,Ovoviviparous
Hexanchiformes,Hexanchidae,Hexanchus,griseus,bluntnose sixgill shark,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,200-1100,,1,1,fisheries: commercial; gamefish: yes,1,,1,,1,,4,482,Ovoviviparous
Hexanchiformes,Hexanchidae,Hexanchus,nakamurai,bigeye sixgill shark,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,90-621,1,1,,fisheries: subsistence fisheries,1,,,1,,,4,180,Ovoviviparous
Hexanchiformes,Hexanchidae,Notorynchus,cepedianus,broadnose sevengill shark,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0-50,1,,,"fisheries: commercial; gamefish: yes; aquarium: public aquariums
",1,,1,,1,1,3,296,Ovoviviparous
Echinorhiniformes,Echinorhinidae,Echinorhinus,brucus,bramble shark,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,200-900,,1,,fisheries: minor commercial; gamefish: yes,1,1,,,1,,4,310,Ovoviviparous
Echinorhiniformes,Echinorhinidae,Echinorhinus,cookei,prickly shark,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,4-1100,1,1,1,fisheries: minor commercial,1,1,,,,,4,450,Ovoviviparous
Squaliformes,Squalidae,Cirrhigaleus,asper,roughskin spurdog,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,73-600,1,1,,,NA,,,,,,3.5,118,Ovoviviparous
Squaliformes,Squalidae,Cirrhigaleus,australis,southern mandarin dogfish,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,360-640,,1,,,NA,,,,,,4,123,
